Id	Longitude	Latitude	Depth	RecentDate	OldestDate	Archive	Material	DOI	Reference	Filename
16	113.28517	9.36193	2770.0	17.44	4990.83	Ocean	Benthic foraminifera	10.2973/odp.proc.sr.184.221.2004	Cheng, X., Tian, J., and Wang, P.: Data Report: Stable Isotopes from Site 1143, 185, 10.2973/odp.proc.sr.184.221.2004, 2004.	184-1143_benth-foram_SIMPL_UVIPERE_ADJUSTED_DATA
17	113.28517	9.36193	2770.0	17.44	4990.83	Ocean	Benthic foraminifera	10.2973/odp.proc.sr.184.221.2004	Cheng, X., Tian, J., and Wang, P.: Data Report: Stable Isotopes from Site 1143, 185, 10.2973/odp.proc.sr.184.221.2004, 2004.	184-1143_benth-foram_SIMPL_UVIPERE_RAW_DATA
18	113.28517	9.36193	2770.0	0.0	5020.61	Ocean	Benthic foraminifera	10.2973/odp.proc.sr.184.221.2004	Cheng, X., Tian, J., and Wang, P.: Data Report: Stable Isotopes from Site 1143, 185, 10.2973/odp.proc.sr.184.221.2004, 2004.	184-1143_benth-foram_SIMPL_WUEL_ADJUSTED_DATA
19	113.28517	9.36193	2770.0	0.0	5020.61	Ocean	Benthic foraminifera	10.2973/odp.proc.sr.184.221.2004	Cheng, X., Tian, J., and Wang, P.: Data Report: Stable Isotopes from Site 1143, 185, 10.2973/odp.proc.sr.184.221.2004, 2004.	184-1143_benth-foram_SIMPL_WUEL_RAW_DATA
20	113.28517	9.36193	2770.0	3.6	5018.62	Ocean	Planktonic foraminifera	10.2973/odp.proc.sr.184.221.2004	Cheng, X., Tian, J., and Wang, P.: Data Report: Stable Isotopes from Site 1143, 185, 10.2973/odp.proc.sr.184.221.2004, 2004.	184-1143_plankt-foram_SIMPL_OBLIQUUS
21	113.28517	9.36193	2770.0	3.6	4512.17	Ocean	Planktonic foraminifera	10.2973/odp.proc.sr.184.221.2004	Cheng, X., Tian, J., and Wang, P.: Data Report: Stable Isotopes from Site 1143, 185, 10.2973/odp.proc.sr.184.221.2004, 2004.	184-1143_plankt-foram_SIMPL_RUBER
22	117.41905	20.053	2037.0	0.09	1974.7	Ocean	Planktonic foraminifera	urn:nbn:de:gbv:8-diss-5231	Bühring, Christian (2001): East Asian Monsoon variability on orbital- and millennial-to-sub-decadal time scales. PhD Thesis, Mathematisch-Naturwissenschaftliche Fakultät der Christian-Albrechts-Universität zu Kiel, 164 pp, urn:nbn:de:gbv:8-diss-5231	184-1144_Site_stab_iso_SIMPL_buehring_2001
23	117.41905	20.053	2037.0	0.09	1975.6	Ocean	Planktonic foraminifera	10.2973/odp.proc.sr.184.205.2004	Bühring, C., Sarnthein, M., and Erlenkeuser, H.: Toward a High-Resolution Stable Isotope Stratigraphy of the Last 1.1 m.y.: Site 1144, South China Sea, 185, 10.2973/odp.proc.sr.184.205.2004, 2004.	184-1144_Site_stab_iso_SIMPL_Buehring_2004
24	-106.474	22.68333	420.0	1.13	112.0	Ocean	Benthic foraminifera	10.1029/98PA02508	Ganeshram, R. S., and Pedersen, T. F.: Glacial-interglacial variability in upwelling and bioproductivity off NW Mexico: Implications for Quaternary paleoclimate, Paleoceanography, 13, 634-645, 10.1029/98pa02508, 1998.	18o_NH15P_SIMPL
25	-106.5178	23.51778	2025.0	3.35	139.0	Ocean	Benthic foraminifera	10.1029/98PA02508	Ganeshram, R. S., and Pedersen, T. F.: Glacial-interglacial variability in upwelling and bioproductivity off NW Mexico: Implications for Quaternary paleoclimate, Paleoceanography, 13, 634-645, 10.1029/98pa02508, 1998.	18o_NH22P_SIMPL
26	-107.0717	22.38639	1018.0	1.64	50.2	Ocean	Benthic foraminifera	10.1029/98PA02508	Ganeshram, R. S., and Pedersen, T. F.: Glacial-interglacial variability in upwelling and bioproductivity off NW Mexico: Implications for Quaternary paleoclimate, Paleoceanography, 13, 634-645, 10.1029/98pa02508, 1998.	18o_NH8P_SIMPL
27	-75.90135	-39.89	4072.0	12.47	141.24	Ocean	Planktonic foraminifera	10.1016/j.epsl.2008.02.007	Blumberg, S., Lamy, F., Arz, H. W., Echtler, H. P., Wiedicke, M., Haug, G. H., and Oncken, O.: Turbiditic trench deposits at the South-Chilean active margin: A Pleistocene–Holocene record of climate and tectonics, Earth and Planetary Science Letters, 268, 526-539, 10.1016/j.epsl.2008.02.007, 2008.	202-1232_isotope_SIMPL
28	57.347	14.321	3212.0	0.61	24.57	Ocean	Planktonic foraminifera	10.1038/364322a0	Sirocko, F., Sarnthein, M., Erlenkeuser, H., Lange, H., Arnold, M., and Duplessy, J. C.: Century-scale events in monsoonal climate over the past 24,000 years, Nature, 364, 322-324, 10.1038/364322a0, 1993.	74kl-data_Sirocko_SIMPL_ruber
29	159.361	0.3185	2520.0	3.424	753.115	Ocean	Planktonic foraminifera	10.1007/BF02369003	Berger, W. H., Yasuda, M. K., Bickert, T., and Wefer, G.: Reconstruction of atmospheric CO2 from ice-core data and the deep-sea record of ontong Java plateau: the Milankovitch chron, Geologische Rundschau, 85, 466-495, 10.1007/bf02369003, 1996.	806isotp_SIMPL_pull
30	159.361	0.3185	2520.0	3.424	753.115	Ocean	Planktonic foraminifera	10.1007/BF02369003	Berger, W. H., Yasuda, M. K., Bickert, T., and Wefer, G.: Reconstruction of atmospheric CO2 from ice-core data and the deep-sea record of ontong Java plateau: the Milankovitch chron, Geologische Rundschau, 85, 466-495, 10.1007/bf02369003, 1996.	806isotp_SIMPL_Sacc
31	159.361	0.3185	2520.0	3.424	753.115	Ocean	Benthic foraminifera	10.1007/BF02369003	Berger, W. H., Yasuda, M. K., Bickert, T., and Wefer, G.: Reconstruction of atmospheric CO2 from ice-core data and the deep-sea record of ontong Java plateau: the Milankovitch chron, Geologische Rundschau, 85, 466-495, 10.1007/bf02369003, 1996.	806isotp_SIMPL_Wuell
32	-160.0	4.0	1.0	-0.028792	0.000458	Ocean	Coral	10.1126/science.1228246	Cobb, K. M., Westphal, N., Sayani, H. R., Watson, J. T., Di Lorenzo, E., Cheng, H., Edwards, R. L., and Charles, C. D.: Highly Variable El Nino-Southern Oscillation Throughout the Holocene, Science, 339, 67-70, 10.1126/science.1228246, 2013.	A104_SIMPL
33	-38.0	-31.0	2925.0	4.235	301.8	Ocean	Benthic foraminifera	10.1029/92PA02253	Imbrie, J., Boyle, E. A., Clemens, S. C., Duffy, A., Howard, W. R., Kukla, G., Kutzbach, J., Martinson, D. G., McIntyre, A., Mix, A. C., Molfino, B., Morley, J. J., Peterson, L. C., Pisias, N. G., Prell, W. L., Raymo, M. E., Shackleton, N. J., and Toggweiler, J. R.: On the Structure and Origin of Major Glaciation Cycles 1. Linear Responses to Milankovitch Forcing, Paleoceanography, 7, 701-738, 10.1029/92pa02253, 1992.	a107-131-tab_SIMPL
34	-76.0	80.25	2200.0	-0.023	0.15	Ice	Ice	10.1177/095968369500500103 	Fisher, D. A., Koerner, R. M., and Reeh, N.: Holocene climatic records from Agassiz Ice Cap, Ellesmere Island, NWT, Canada, The Holocene, 5, 19-24, 10.1177/095968369500500103, 1995.	A84_d18O_SIMPL
35	-76.0	80.25	2200.0	-0.011	0.15	Ice	Ice	10.1177/095968369500500103 	Fisher, D. A., Koerner, R. M., and Reeh, N.: Holocene climatic records from Agassiz Ice Cap, Ellesmere Island, NWT, Canada, The Holocene, 5, 19-24, 10.1177/095968369500500103, 1995.	A87_d18O_SIMPL
36	98.51	-0.13333	6.0	-0.04796	0.09171	Ocean	Coral	10.1038/ngeo357	Abram, N. J., Gagan, M. K., Cole, J. E., Hantoro, W. S., and Mudelsee, M.: Recent intensification of tropical climate variability in the Indian Ocean, Nature Geoscience, 1, 849-853, 10.1038/ngeo357, 2008.	abram_2008_SIMPL
37	11.768667	41.752	662.0	4.8	21.6	Ocean	Benthic foraminifera	10.1029/91PA00501	Vergnaud-Grazzini, Colette; Pierre, Catherine (1991): High fertility in the Alboran Sea since the last glacial maximum. Paleoceanography, 6(4), 519-536, doi:10.1029/91PA00501	AC85-4_age_d18O_U_perigrina_SIMPL
38	-76.0	80.25	2200.0	0.1	11.7	Ice	Ice	10.1029/2007JD009143	Vinther, B. M., Clausen, H. B., Fisher, D. A., Koerner, R. M., Johnsen, S. J., Andersen, K. K., Dahl-Jensen, D., Rasmussen, S. O., Steffensen, J. P., and Svensson, A. M.: Synchronizing ice cores from the Renland and Agassiz ice caps to the Greenland Ice Core Chronology, Journal of Geophysical Research, 113, 10.1029/2007jd009143, 2008.	Agassiz_A77_SIMPL
39	-76.0	80.25	2200.0	0.1	11.7	Ice	Ice	10.1029/2007JD009143	Vinther, B. M., Clausen, H. B., Fisher, D. A., Koerner, R. M., Johnsen, S. J., Andersen, K. K., Dahl-Jensen, D., Rasmussen, S. O., Steffensen, J. P., and Svensson, A. M.: Synchronizing ice cores from the Renland and Agassiz ice caps to the Greenland Ice Core Chronology, Journal of Geophysical Research, 113, 10.1029/2007jd009143, 2008.	Agassiz_A79_SIMPL
40	-76.0	80.25	2200.0	0.1	11.7	Ice	Ice	10.1029/2007JD009143	Vinther, B. M., Clausen, H. B., Fisher, D. A., Koerner, R. M., Johnsen, S. J., Andersen, K. K., Dahl-Jensen, D., Rasmussen, S. O., Steffensen, J. P., and Svensson, A. M.: Synchronizing ice cores from the Renland and Agassiz ice caps to the Greenland Ice Core Chronology, Journal of Geophysical Research, 113, 10.1029/2007jd009143, 2008.	Agassiz_A84_SIMPL
41	-76.0	80.25	2200.0	0.1	11.7	Ice	Ice	10.1029/2007JD009143	Vinther, B. M., Clausen, H. B., Fisher, D. A., Koerner, R. M., Johnsen, S. J., Andersen, K. K., Dahl-Jensen, D., Rasmussen, S. O., Steffensen, J. P., and Svensson, A. M.: Synchronizing ice cores from the Renland and Agassiz ice caps to the Greenland Ice Core Chronology, Journal of Geophysical Research, 113, 10.1029/2007jd009143, 2008.	Agassiz_A87_SIMPL
42	-119.856667	32.8	1171.0	3.036	32.728	Ocean	Planktonic foraminifera	10.1029/96PA01236	Mortyn, P. G., Thunell, R. C., Anderson, D. M., Stott, L. D., and Le, J.: Sea surface temperature changes in the southern California borderlands during the last glacial-Interglacial cycle, Paleoceanography, 11, 415-429, 10.1029/96pa01236, 1996.	AHF-11343_d18O_G_bulloides_SIMPL
43	-118.416667	31.468333	2451.0	1.379	24.988	Ocean	Planktonic foraminifera	10.1029/96PA01236	Mortyn, P. G., Thunell, R. C., Anderson, D. M., Stott, L. D., and Le, J.: Sea surface temperature changes in the southern California borderlands during the last glacial-Interglacial cycle, Paleoceanography, 11, 415-429, 10.1029/96pa01236, 1996.	AHF-16830_d18O_G_bulloides_SIMPL
44	-118.116667	31.866667	1915.0	1.687	34.889	Ocean	Planktonic foraminifera	10.1029/96PA01236	Mortyn, P. G., Thunell, R. C., Anderson, D. M., Stott, L. D., and Le, J.: Sea surface temperature changes in the southern California borderlands during the last glacial-Interglacial cycle, Paleoceanography, 11, 415-429, 10.1029/96pa01236, 1996.	AHF-16832_d18O_G_bulloides_SIMPL
45	-118.116667	31.866667	1915.0	3.43	48.59	Ocean	Benthic foraminifera	10.1029/1999PA000375	Stott, L. D., Neumann, M., and Hammond, D.: Intermediate water ventilation on the Northeastern Pacific Margin during the Late Pleistocene inferred from benthic foraminiferal δ13C, Paleoceanography, 15, 161-169, 10.1029/1999pa000375, 2000.	ahf16832_SIMPL_benth
46	-118.116667	31.866667	1915.0	3.43	29.1	Ocean	Planktonic foraminifera	10.1029/1999PA000375	Mortyn, P. G., Thunell, R. C., Anderson, D. M., Stott, L. D., and Le, J.: Sea surface temperature changes in the southern California borderlands during the last glacial-Interglacial cycle, Paleoceanography, 11, 415-429, 10.1029/96pa01236, 1996.	ahf16832_SIMPL_bullo
47	-119.06	33.011667	1756.0	3.852	29.076	Ocean	Planktonic foraminifera	10.1029/96PA01236	Mortyn, P. G., Thunell, R. C., Anderson, D. M., Stott, L. D., & Le, J. N. (1996). Sea surface temperature changes in the Southern California borderlands during the last glacial-interglacial cycle. PALEOCEANOGRAPHY, 415–429.	AHF-28181_d18O_G_bulloides_SIMPL
48	92.06	31.62	4575.0	4.183	9.494	Lake	Carbonate	10.1016/j.yqres.2005.02.014	Morrill, C., Overpeck, J. T., Cole, J. E., Liu, K.-b., Shen, C., and Tang, L.: Holocene variations in the Asian monsoon inferred from the geochemistry of lake sediments in central Tibet, Quaternary Research, 65, 232-243, 10.1016/j.yqres.2005.02.014, 2006.	ahungco2006_Core_2A_SIMPL
49	92.06	31.62	4575.0	4.021	9.12	Lake	Carbonate	10.1016/j.yqres.2005.02.014	Morrill, C., Overpeck, J. T., Cole, J. E., Liu, K.-b., Shen, C., and Tang, L.: Holocene variations in the Asian monsoon inferred from the geochemistry of lake sediments in central Tibet, Quaternary Research, 65, 232-243, 10.1016/j.yqres.2005.02.014, 2006.	ahungco2006_Core_3A_SIMPL
50	92.06	31.62	4575.0	3.887	8.231	Lake	Carbonate	10.1016/j.yqres.2005.02.014	Morrill, C., Overpeck, J. T., Cole, J. E., Liu, K.-b., Shen, C., and Tang, L.: Holocene variations in the Asian monsoon inferred from the geochemistry of lake sediments in central Tibet, Quaternary Research, 65, 232-243, 10.1016/j.yqres.2005.02.014, 2006.	ahungco2006_Core_4A_SIMPL
51	89.528	32.098	4724.0	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010	Aichner, B., Herzschuh, U., Wilkes, H., Vieth, A., and Böhner, J.: δD values of n-alkanes in Tibetan lake sediments and aquatic macrophytes – A surface sediment study and application to a 16ka record from Lake Koucha, Organic Geochemistry, 41, 779-790, 10.1016/j.orggeochem.2010.05.010, 2010.	Aichner_2010_ctp20_C23_SIMPL
52	89.528	32.098	4724.0	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010	Aichner, B., Herzschuh, U., Wilkes, H., Vieth, A., and Böhner, J.: δD values of n-alkanes in Tibetan lake sediments and aquatic macrophytes – A surface sediment study and application to a 16ka record from Lake Koucha, Organic Geochemistry, 41, 779-790, 10.1016/j.orggeochem.2010.05.010, 2010.	Aichner_2010_ctp20_C25_SIMPL
53	89.528	32.098	4724.0	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010	Aichner, B., Herzschuh, U., Wilkes, H., Vieth, A., and Böhner, J.: δD values of n-alkanes in Tibetan lake sediments and aquatic macrophytes – A surface sediment study and application to a 16ka record from Lake Koucha, Organic Geochemistry, 41, 779-790, 10.1016/j.orggeochem.2010.05.010, 2010.	Aichner_2010_ctp20_C27_SIMPL
54	89.528	32.098	4724.0	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010	Aichner, B., Herzschuh, U., Wilkes, H., Vieth, A., and Böhner, J.: δD values of n-alkanes in Tibetan lake sediments and aquatic macrophytes – A surface sediment study and application to a 16ka record from Lake Koucha, Organic Geochemistry, 41, 779-790, 10.1016/j.orggeochem.2010.05.010, 2010.	Aichner_2010_ctp20_C29_SIMPL
55	89.528	32.098	4724.0	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010	Aichner, B., Herzschuh, U., Wilkes, H., Vieth, A., and Böhner, J.: δD values of n-alkanes in Tibetan lake sediments and aquatic macrophytes – A surface sediment study and application to a 16ka record from Lake Koucha, Organic Geochemistry, 41, 779-790, 10.1016/j.orggeochem.2010.05.010, 2010.	Aichner_2010_ctp20_C31_SIMPL
56	91.857	32.572	5133.0	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010	Aichner, B., Herzschuh, U., Wilkes, H., Vieth, A., and Böhner, J.: δD values of n-alkanes in Tibetan lake sediments and aquatic macrophytes – A surface sediment study and application to a 16ka record from Lake Koucha, Organic Geochemistry, 41, 779-790, 10.1016/j.orggeochem.2010.05.010, 2010.	Aichner_2010_ctp25_C23_SIMPL
57	91.857	32.572	5133.0	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010	Aichner, B., Herzschuh, U., Wilkes, H., Vieth, A., and Böhner, J.: δD values of n-alkanes in Tibetan lake sediments and aquatic macrophytes – A surface sediment study and application to a 16ka record from Lake Koucha, Organic Geochemistry, 41, 779-790, 10.1016/j.orggeochem.2010.05.010, 2010.	Aichner_2010_ctp25_C25_SIMPL
58	95.977	34.158	4701.0	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010	Aichner, B., Herzschuh, U., Wilkes, H., Vieth, A., and Böhner, J.: δD values of n-alkanes in Tibetan lake sediments and aquatic macrophytes – A surface sediment study and application to a 16ka record from Lake Koucha, Organic Geochemistry, 41, 779-790, 10.1016/j.orggeochem.2010.05.010, 2010.	Aichner_2010_ctp35_C23_SIMPL
59	95.977	34.158	4701.0	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010	Aichner, B., Herzschuh, U., Wilkes, H., Vieth, A., and Böhner, J.: δD values of n-alkanes in Tibetan lake sediments and aquatic macrophytes – A surface sediment study and application to a 16ka record from Lake Koucha, Organic Geochemistry, 41, 779-790, 10.1016/j.orggeochem.2010.05.010, 2010.	Aichner_2010_ctp35_C25_SIMPL
60	95.977	34.158	4701.0	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010	Aichner, B., Herzschuh, U., Wilkes, H., Vieth, A., and Böhner, J.: δD values of n-alkanes in Tibetan lake sediments and aquatic macrophytes – A surface sediment study and application to a 16ka record from Lake Koucha, Organic Geochemistry, 41, 779-790, 10.1016/j.orggeochem.2010.05.010, 2010.	Aichner_2010_ctp35_C27_SIMPL
61	95.977	34.158	4701.0	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010	Aichner, B., Herzschuh, U., Wilkes, H., Vieth, A., and Böhner, J.: δD values of n-alkanes in Tibetan lake sediments and aquatic macrophytes – A surface sediment study and application to a 16ka record from Lake Koucha, Organic Geochemistry, 41, 779-790, 10.1016/j.orggeochem.2010.05.010, 2010.	Aichner_2010_ctp35_C29_SIMPL
62	95.977	34.158	4701.0	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010	Aichner, B., Herzschuh, U., Wilkes, H., Vieth, A., and Böhner, J.: δD values of n-alkanes in Tibetan lake sediments and aquatic macrophytes – A surface sediment study and application to a 16ka record from Lake Koucha, Organic Geochemistry, 41, 779-790, 10.1016/j.orggeochem.2010.05.010, 2010.	Aichner_2010_ctp35_C31_SIMPL
63	98.65	35.227	4095.0	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010	Aichner, B., Herzschuh, U., Wilkes, H., Vieth, A., and Böhner, J.: δD values of n-alkanes in Tibetan lake sediments and aquatic macrophytes – A surface sediment study and application to a 16ka record from Lake Koucha, Organic Geochemistry, 41, 779-790, 10.1016/j.orggeochem.2010.05.010, 2010.	Aichner_2010_Donggi_C23_SIMPL
64	98.65	35.227	4095.0	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010	Aichner, B., Herzschuh, U., Wilkes, H., Vieth, A., and Böhner, J.: δD values of n-alkanes in Tibetan lake sediments and aquatic macrophytes – A surface sediment study and application to a 16ka record from Lake Koucha, Organic Geochemistry, 41, 779-790, 10.1016/j.orggeochem.2010.05.010, 2010.	Aichner_2010_Donggi_C25_SIMPL
65	98.65	35.227	4095.0	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010	Aichner, B., Herzschuh, U., Wilkes, H., Vieth, A., and Böhner, J.: δD values of n-alkanes in Tibetan lake sediments and aquatic macrophytes – A surface sediment study and application to a 16ka record from Lake Koucha, Organic Geochemistry, 41, 779-790, 10.1016/j.orggeochem.2010.05.010, 2010.	Aichner_2010_Donggi_C27_SIMPL
66	98.65	35.227	4095.0	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010	Aichner, B., Herzschuh, U., Wilkes, H., Vieth, A., and Böhner, J.: δD values of n-alkanes in Tibetan lake sediments and aquatic macrophytes – A surface sediment study and application to a 16ka record from Lake Koucha, Organic Geochemistry, 41, 779-790, 10.1016/j.orggeochem.2010.05.010, 2010.	Aichner_2010_Donggi_C29_SIMPL
67	98.65	35.227	4095.0	-0.056	-0.056	Lake	Non-Carbonate	10.1016/j.orggeochem.2010.05.010	Aichner, B., Herzschuh, U., Wilkes, H., Vieth, A., and Böhner, J.: δD values of n-alkanes in Tibetan lake sediments and aquatic macrophytes – A surface sediment study and application to a 16ka record from Lake Koucha, Organic Geochemistry, 41, 779-790, 10.1016/j.orggeochem.2010.05.010, 2010.	Aichner_2010_Donggi_C31_SIMPL
68	31.17	1.835	615.0	7.1178434	14.334423	Lake	Non-Carbonate	10.1016/j.palaeo.2014.04.014	Berke, M. A., Johnson, T. C., Werne, J. P., Livingstone, D. A., Grice, K., Schouten, S., and Sinninghe Damsté, J. S.: Characterization of the last deglacial transition in tropical East Africa: Insights from Lake Albert, Palaeogeography, Palaeoclimatology, Palaeoecology, 409, 1-8, 10.1016/j.palaeo.2014.04.014, 2014.	albert2014_13C_C29-33_SIMPL
